"SCHOOL_YEAR","DISTRICT_NUMBER","DISTRICT_NAME","FINAL_GRANT","DENOMINATOR_STUDIED_COHORT","NUMERATOR_NUM_SUCCESSFUL","Educators.CNT","FULLTIME.Educators.CNT","TEACH_STUD_RATIO","GRAD_RATE"
"2006/2007",38,"Richmond",157580752,19118,18438,1348,1044,0.0546082226174286,96.4431425881368
"2006/2007",39,"Vancouver",409390735,46230,43636,3524,2628,0.0568462037637897,94.3889249405148
"2006/2007",40,"New Westminster",47916158,5133,4786,433,307,0.0598090785115917,93.2398207675823
"2006/2007",41,"Burnaby",166776299,20518,19341,1567,1213,0.0591188224973194,94.2635734477044
"2006/2007",42,"Maple Ridge-Pitt Meadows",103423260,12708,12132,927,685,0.0539030531948379,95.4674220963173
"2006/2007",43,"Coquitlam",209508124,26144,25430,1913,1476,0.0564565483476132,97.2689718482252
"2006/2007",44,"North Vancouver",117992155,14689,14018,1053,686,0.0467016134522432,95.4319558853564
"2006/2007",45,"West Vancouver",42120766,5214,5030,412,288,0.0552359033371692,96.4710395090142
"2006/2007",46,"Sunshine Coast",32656676,3222,3050,248,151,0.0468653010552452,94.6617008069522
"2006/2007",47,"Powell River",21055262,2142,2019,150,105,0.0490196078431373,94.2577030812325
"2006/2007",49,"Central Coast",4753218,186,178,26,25,0.134408602150538,95.6989247311828
"2006/2007",51,"Boundary",15616611,1468,1369,102,74,0.050408719346049,93.2561307901907
"2006/2007",52,"Prince Rupert",25209564,2152,1979,185,145,0.0673791821561338,91.9609665427509
"2006/2007",53,"Okanagan Similkameen",23454787,2429,2270,156,133,0.0547550432276657,93.4540963359407
"2006/2007",54,"Bulkley Valley",21799838,2136,1998,158,123,0.0575842696629214,93.5393258426966
"2006/2007",57,"Prince George",118840649,12872,12108,922,703,0.0546146674953387,94.0646364201367
"2006/2007",58,"Nicola-Similkameen",24234384,2282,1980,164,142,0.0622261174408414,86.7659947414549
"2006/2007",59,"Peace River South",40069667,3837,3566,239,202,0.0526452958040136,92.9371905134219
